No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,ALE
23.3,NA,27.5,NA,26.1,6,77.4
NA,NA,NA,NA,NA,NA,74.5
NA,NA,NA,NA,20,10,78.3
NA,NA,NA,NA,NA,NA,74.9
NA,NA,NA,NA,NA,NA,77.6
23.9,81.2,20.7,15.7,20.8,6.2,77.7
37.6,NA,25,NA,27.1,8.1,76.9
14.4,NA,15.3,14.6,25.5,3.8,76.4
NA,NA,NA,NA,NA,NA,77.4
NA,NA,NA,NA,16.4,5.5,78.1
25.8,77.1,23.8,34.7,21.1,6.7,76.4
30.9,NA,32.7,NA,30.4,12.1,77.2
NA,NA,NA,NA,NA,11.7,76.5
NA,NA,NA,NA,NA,6.8,78.2
NA,NA,NA,NA,NA,NA,75.5
26.9,81.5,22.6,20.4,17.9,5.6,77.8
22.5,75.2,28.1,25.4,22.1,7.5,74.5
21.6,NA,18.6,NA,15.7,4.7,79
22.7,76.6,22.4,26.2,24.8,9.7,77.5
20.9,74.9,20.8,22.1,19.6,5.3,78.6
27.9,72.2,24.1,29.1,29,8.2,77.5
NA,NA,NA,NA,NA,NA,78.8
31.9,85.2,19.9,NA,28.5,9.2,74.3
NA,86.6,NA,NA,NA,13.1,73.2
NA,NA,NA,NA,NA,4,76.3
23.9,79,27.6,27.7,30.6,9,76.6
18.2,80.8,18.7,23.5,26.1,7.3,78.1
29.3,76.4,23.3,22.9,32.5,7.8,76.3
27.1,78.7,26.5,26.3,28.6,6.5,76.7
NA,NA,NA,NA,NA,10.9,77
31.9,79.9,30,26.5,23.7,8.6,76.8
NA,NA,NA,NA,NA,NA,75.7
39.1,87.1,NA,NA,35.1,12.3,74.9
29.5,NA,28.1,NA,31.5,4.8,75.6
23.7,74.4,23.1,29.9,20.2,6.1,77.3
34.1,NA,27,NA,29,12.3,75.9
24.2,NA,22.5,NA,29.8,6.7,76.9
NA,NA,NA,NA,18.4,12.9,75.2
24.3,73.9,24,22.2,27.5,5.6,77.2
26.5,78.3,20.6,19,22.5,10.9,76.7
NA,NA,NA,NA,NA,9.4,77.2
27.9,74.9,21.5,NA,31,3.4,78
32.5,78.9,31.9,NA,22,11.4,76
26.7,74.8,20.3,NA,26.7,10.2,77.6
NA,NA,29.3,NA,18.3,4.3,77.1
18,NA,25.2,NA,18.6,11.9,76.7
26.2,75.5,22.8,26.7,25.3,8.1,76.9
35.8,NA,27.2,NA,29.8,8.7,73.6
30.5,78.4,31.1,NA,26.7,6.5,76.3
24.4,85.1,24.9,NA,26.7,5,76.9
